query,dataset,run_number,vanilla_time_sec
query5.sql,tpcds,7,19.82
query50.sql,tpcds,7,22.00
query51.sql,tpcds,7,24.18
query52.sql,tpcds,7,12.62
query53.sql,tpcds,7,13.62
query54.sql,tpcds,7,18.87
query55.sql,tpcds,7,13.15
query56.sql,tpcds,7,16.42
query57.sql,tpcds,7,14.94
query58.sql,tpcds,7,16.48
query59.sql,tpcds,7,15.95
query6.sql,tpcds,7,21.52
query60.sql,tpcds,7,17.27
query61.sql,tpcds,7,10.48
query62.sql,tpcds,7,13.81
query63.sql,tpcds,7,14.17
query64.sql,tpcds,7,37.35
query65.sql,tpcds,7,18.46
query66.sql,tpcds,7,16.81
query67.sql,tpcds,7,fail
query68.sql,tpcds,7,14.59
query69.sql,tpcds,7,11.68
query7.sql,tpcds,7,15.39
query70.sql,tpcds,7,15.64
query71.sql,tpcds,7,15.28
query72.sql,tpcds,7,37.03
query73.sql,tpcds,7,14.06
query74.sql,tpcds,7,27.16
query75.sql,tpcds,7,24.73
query76.sql,tpcds,7,14.84
query77.sql,tpcds,7,17.44
query78.sql,tpcds,7,36.81
query79.sql,tpcds,7,15.13
query8.sql,tpcds,7,14.34
query80.sql,tpcds,7,34.13
query81.sql,tpcds,7,15.34
query82.sql,tpcds,7,16.54
query83.sql,tpcds,7,14.24
query84.sql,tpcds,7,13.82
query85.sql,tpcds,7,18.87
query86.sql,tpcds,7,13.91
query87.sql,tpcds,7,20.76
query88.sql,tpcds,7,17.66
