query,dataset,runtime
query43.sql,tpcds,1643
query99.sql,tpcds,2539
query34.sql,tpcds,2778
query86.sql,tpcds,1778
query25.sql,tpcds,13222
query66.sql,tpcds,5078
query128.sql,tpcds,1729
query102.sql,tpcds,1017
query59.sql,tpcds,3733
query107.sql,tpcds,1168
query12.sql,tpcds,1918
query69.sql,tpcds,3902
query124.sql,tpcds,1587
query113.sql,tpcds,1618
query27.sql,tpcds,3361
query38.sql,tpcds,10890
query77.sql,tpcds,29395
query103.sql,tpcds,1486
query19.sql,tpcds,2496
query81.sql,tpcds,3626
query13.sql,tpcds,2039
query48.sql,tpcds,2964
query4.sql,tpcds,44956
query63.sql,tpcds,1687
query91.sql,tpcds,1948
query28.sql,tpcds,9436
query68.sql,tpcds,5099
query55.sql,tpcds,1163
query41.sql,tpcds,706
query61.sql,tpcds,2602
query47.sql,tpcds,16321
query56.sql,tpcds,4616
query51.sql,tpcds,12049
query96.sql,tpcds,691
query3.sql,tpcds,851
query84.sql,tpcds,2429
query45.sql,tpcds,1952
query60.sql,tpcds,3663
query89.sql,tpcds,1900
query8.sql,tpcds,2050
query2.sql,tpcds,3459
query97.sql,tpcds,6268
query75.sql,tpcds,22374
query80.sql,tpcds,32493
query111.sql,tpcds,2075
query15.sql,tpcds,2585
query106.sql,tpcds,764
query79.sql,tpcds,2183
query40.sql,tpcds,5447
query57.sql,tpcds,8494
query110.sql,tpcds,2124
query78.sql,tpcds,28074
query62.sql,tpcds,1966
query127.sql,tpcds,1829
query105.sql,tpcds,694
query44.sql,tpcds,3161
query1.sql,tpcds,5246
query74.sql,tpcds,27543
query53.sql,tpcds,1636
query46.sql,tpcds,3790
query119.sql,tpcds,2927
query64.sql,tpcds,100144
query85.sql,tpcds,3899
query17.sql,tpcds,13744
query131.sql,tpcds,1601
query112.sql,tpcds,1792
query58.sql,tpcds,3526
query36.sql,tpcds,2180
query121.sql,tpcds,2011
query115.sql,tpcds,2134
query20.sql,tpcds,1469
query22.sql,tpcds,2997
query49.sql,tpcds,7976
query83.sql,tpcds,3362
query71.sql,tpcds,3774
query108.sql,tpcds,767
query11.sql,tpcds,24759
query125.sql,tpcds,2172
query5.sql,tpcds,6756
query116.sql,tpcds,2002
query6.sql,tpcds,6209
query92.sql,tpcds,1886
query104.sql,tpcds,652
query88.sql,tpcds,6575
query65.sql,tpcds,5437
query52.sql,tpcds,896
query130.sql,tpcds,1763
query31.sql,tpcds,8199
query114.sql,tpcds,2111
query54.sql,tpcds,5952
query76.sql,tpcds,2890
query72.sql,tpcds,26891
query18.sql,tpcds,4201
query35.sql,tpcds,7182
query100.sql,tpcds,742
query95.sql,tpcds,11494
query90.sql,tpcds,1797
query7.sql,tpcds,3575
query37.sql,tpcds,2451
query21.sql,tpcds,1443
query93.sql,tpcds,10110
query129.sql,tpcds,1996
query109.sql,tpcds,1461
query126.sql,tpcds,1792
query29.sql,tpcds,13902
query50.sql,tpcds,6462
query87.sql,tpcds,9863
query10.sql,tpcds,5088
query118.sql,tpcds,2994
query82.sql,tpcds,2596
query117.sql,tpcds,1778
query120.sql,tpcds,1808
query98.sql,tpcds,1526
query122.sql,tpcds,1606
query33.sql,tpcds,4339
query94.sql,tpcds,4899
query9.sql,tpcds,6422
query101.sql,tpcds,822
query42.sql,tpcds,796
query70.sql,tpcds,2666
query73.sql,tpcds,2601
query16.sql,tpcds,6904
query26.sql,tpcds,2691
query32.sql,tpcds,1816
query123.sql,tpcds,2114
query43.sql,tpcds,1613
query99.sql,tpcds,2327
query34.sql,tpcds,2319
query86.sql,tpcds,1243
query25.sql,tpcds,14813
query66.sql,tpcds,5518
query128.sql,tpcds,1646
query102.sql,tpcds,1408
query59.sql,tpcds,3852
query107.sql,tpcds,985
query12.sql,tpcds,1999
query69.sql,tpcds,3575
query124.sql,tpcds,1416
query113.sql,tpcds,2144
query27.sql,tpcds,2501
