query,dataset,run_number,listener_nowrite_time
query19.sql,tpcds,7,14.79
query2.sql,tpcds,7,16.07
query20.sql,tpcds,7,14.51
query21.sql,tpcds,7,13.93
query22.sql,tpcds,7,14.99
query23.sql,tpcds,7,8.51
query24.sql,tpcds,7,8.23
query25.sql,tpcds,7,27.41
query26.sql,tpcds,7,14.38
query27.sql,tpcds,7,15.61
query28.sql,tpcds,7,21.54
query29.sql,tpcds,7,27.11
query3.sql,tpcds,7,13.06
query30.sql,tpcds,7,8.79
query31.sql,tpcds,7,24.25
query32.sql,tpcds,7,14.13
query33.sql,tpcds,7,17.20
query34.sql,tpcds,7,15.92
query35.sql,tpcds,7,21.57
query36.sql,tpcds,7,14.78
query37.sql,tpcds,7,14.30
query38.sql,tpcds,7,25.61
query39.sql,tpcds,7,8.49
query4.sql,tpcds,7,60.47
query40.sql,tpcds,7,19.20
query41.sql,tpcds,7,11.65
query42.sql,tpcds,7,13.24
query43.sql,tpcds,7,13.32
query44.sql,tpcds,7,15.92
query45.sql,tpcds,7,13.81
query46.sql,tpcds,7,15.52
query47.sql,tpcds,7,32.93
query48.sql,tpcds,7,14.97
query49.sql,tpcds,7,21.77
query5.sql,tpcds,7,22.22
query50.sql,tpcds,7,20.09
query51.sql,tpcds,7,29.60
query52.sql,tpcds,7,13.12
query53.sql,tpcds,7,14.38
query54.sql,tpcds,7,19.89
query55.sql,tpcds,7,13.53
query56.sql,tpcds,7,17.00
query57.sql,tpcds,7,23.73
query58.sql,tpcds,7,16.66
query59.sql,tpcds,7,17.46
query6.sql,tpcds,7,18.97
query60.sql,tpcds,7,19.05
query61.sql,tpcds,7,13.90
query62.sql,tpcds,7,14.25
query63.sql,tpcds,7,14.78
query64.sql,tpcds,7,50.37
query65.sql,tpcds,7,19.84
query66.sql,tpcds,7,17.11
query67.sql,tpcds,7,8.40
query68.sql,tpcds,7,15.59
query69.sql,tpcds,7,15.45
query7.sql,tpcds,7,16.41
query70.sql,tpcds,7,16.10
query71.sql,tpcds,7,15.11
query72.sql,tpcds,7,33.86
query73.sql,tpcds,7,13.77
query74.sql,tpcds,7,42.23
query75.sql,tpcds,7,41.86
query76.sql,tpcds,7,15.24
query77.sql,tpcds,7,35.00
query78.sql,tpcds,7,38.19
query79.sql,tpcds,7,15.08
query8.sql,tpcds,7,14.88
query80.sql,tpcds,7,33.61
query81.sql,tpcds,7,16.87
query82.sql,tpcds,7,15.53
query83.sql,tpcds,7,15.45
query84.sql,tpcds,7,14.31
query85.sql,tpcds,7,18.28
query86.sql,tpcds,7,13.94
