query,dataset,run_number,listener_register_time
query92.sql,tpcds,6,15.00
query93.sql,tpcds,6,23.83
query94.sql,tpcds,6,18.66
query95.sql,tpcds,6,26.14
query96.sql,tpcds,6,11.31
query97.sql,tpcds,6,18.74
query98.sql,tpcds,6,14.90
query99.sql,tpcds,6,13.72
1.sql,tpch,7,30.80
10.sql,tpch,7,22.33
11.sql,tpch,7,12.45
12.sql,tpch,7,17.41
13.sql,tpch,7,17.39
14.sql,tpch,7,14.59
15.sql,tpch,7,18.13
16.sql,tpch,7,19.60
17.sql,tpch,7,34.90
18.sql,tpch,7,35.04
19.sql,tpch,7,14.66
2.sql,tpch,7,21.07
20.sql,tpch,7,24.22
21.sql,tpch,7,32.52
22.sql,tpch,7,14.79
3.sql,tpch,7,21.51
4.sql,tpch,7,16.93
5.sql,tpch,7,25.46
6.sql,tpch,7,11.36
7.sql,tpch,7,24.23
8.sql,tpch,7,28.43
9.sql,tpch,7,34.44
query1.sql,tpcds,7,16.77
query10.sql,tpcds,7,18.53
query11.sql,tpcds,7,42.83
query12.sql,tpcds,7,14.33
query13.sql,tpcds,7,13.80
query14.sql,tpcds,7,8.59
query15.sql,tpcds,7,14.54
query16.sql,tpcds,7,20.09
query17.sql,tpcds,7,25.98
query18.sql,tpcds,7,16.02
query19.sql,tpcds,7,15.10
query2.sql,tpcds,7,16.78
query20.sql,tpcds,7,14.01
query21.sql,tpcds,7,14.16
query22.sql,tpcds,7,15.22
query23.sql,tpcds,7,8.90
query24.sql,tpcds,7,8.55
query25.sql,tpcds,7,28.94
query26.sql,tpcds,7,14.55
query27.sql,tpcds,7,15.27
query28.sql,tpcds,7,22.30
query29.sql,tpcds,7,27.08
query3.sql,tpcds,7,13.19
query30.sql,tpcds,7,8.56
query31.sql,tpcds,7,22.50
query32.sql,tpcds,7,14.19
query33.sql,tpcds,7,17.36
query34.sql,tpcds,7,15.30
query35.sql,tpcds,7,20.84
query36.sql,tpcds,7,15.21
query37.sql,tpcds,7,14.66
query38.sql,tpcds,7,25.61
query39.sql,tpcds,7,8.38
query4.sql,tpcds,7,61.01
query40.sql,tpcds,7,19.10
query41.sql,tpcds,7,11.28
query42.sql,tpcds,7,12.73
query43.sql,tpcds,7,13.18
query44.sql,tpcds,7,16.79
query45.sql,tpcds,7,13.84
query46.sql,tpcds,7,15.65
query47.sql,tpcds,7,32.53
query48.sql,tpcds,7,14.12
query49.sql,tpcds,7,23.53
query5.sql,tpcds,7,20.34
query50.sql,tpcds,7,20.07
query51.sql,tpcds,7,29.15
query52.sql,tpcds,7,12.95
query53.sql,tpcds,7,14.35
query54.sql,tpcds,7,19.20
query55.sql,tpcds,7,13.64
query56.sql,tpcds,7,17.25
query57.sql,tpcds,7,24.16
query58.sql,tpcds,7,16.89
query59.sql,tpcds,7,17.35
query6.sql,tpcds,7,18.59
query60.sql,tpcds,7,17.16
query61.sql,tpcds,7,14.40
query62.sql,tpcds,7,14.26
query63.sql,tpcds,7,14.38
query64.sql,tpcds,7,52.55
query65.sql,tpcds,7,19.11
query66.sql,tpcds,7,16.89
query67.sql,tpcds,7,8.21
query68.sql,tpcds,7,16.29
query69.sql,tpcds,7,15.40
query7.sql,tpcds,7,15.71
query70.sql,tpcds,7,15.58
query71.sql,tpcds,7,15.12
query72.sql,tpcds,7,34.54
query73.sql,tpcds,7,14.77
query74.sql,tpcds,7,41.48
query75.sql,tpcds,7,40.85
query76.sql,tpcds,7,15.95
query77.sql,tpcds,7,35.94
query78.sql,tpcds,7,37.22
query79.sql,tpcds,7,14.81
query8.sql,tpcds,7,14.81
query80.sql,tpcds,7,32.51
query81.sql,tpcds,7,16.33
query82.sql,tpcds,7,14.97
query83.sql,tpcds,7,15.45
query84.sql,tpcds,7,14.65
query85.sql,tpcds,7,18.26
query86.sql,tpcds,7,14.28
query87.sql,tpcds,7,25.45
